code,term
N00,Acute nephritic syndrome
N00-N08,Glomerular diseases
N01,Rapidly progressive nephritic syndrome
N02,Recurrent and persistent haematuria
N03,Chronic nephritic syndrome
N04,Nephrotic syndrome
N05,Unspecified nephritic syndrome
N06,Isolated proteinuria with specified morphological lesion
N07,"Hereditary nephropathy, not elsewhere classified"
N08,Glomerular disorders in diseases classified elsewhere
N080,Glomerular disorders in infectious and parasitic diseases classified elsewhere
N081,Glomerular disorders in neoplastic diseases
N082,Glomerular disorders in blood diseases and disorders involving the immune mechanism
N083,Glomerular disorders in diabetes mellitus E10-E14 with common fourth character .2
N084,"Glomerular disorders in other endocrine, nutritional and metabolic diseases"
N085,Glomerular disorders in systemic connective tissue disorders
N088,Glomerular disorders in other diseases classified elsewhere
N10,Acute tubulo-interstitial nephritis
N10-N16,Renal tubulo-interstitial diseases
N11,Chronic tubulo-interstitial nephritis
N110,Nonobstructive reflux-associated chronic pyelonephritis
N111,Chronic obstructive pyelonephritis
N118,Other chronic tubulo-interstitial nephritis
N119,"Chronic tubulo-interstitial nephritis, unspecified"
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
N13,Obstructive and reflux uropathy
N130,Hydronephrosis with ureteropelvic junction obstruction
N131,"Hydronephrosis with ureteral stricture, not elsewhere classified"
N132,Hydronephrosis with renal and ureteral calculous obstruction
N133,Other and unspecified hydronephrosis
N134,Hydroureter
N135,Kinking and stricture of ureter without hydronephrosis
N136,Pyonephrosis
N137,Vesicoureteral-reflux-associated uropathy
N138,Other obstructive and reflux uropathy
N139,"Obstructive and reflux uropathy, unspecified"
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
N140,Analgesic nephropathy
N141,"Nephropathy induced by other drugs, medicaments and biological substances"
N142,"Nephropathy induced by unspecified drug, medicament or biological substance"
N143,Nephropathy induced by heavy metals
N144,"Toxic nephropathy, not elsewhere classified"
N15,Other renal tubulo-interstitial diseases
N150,Balkan nephropathy
N151,Renal and perinephric abscess
N158,Other specified renal tubulo-interstitial diseases
N159,"Renal tubulo-interstitial disease, unspecified"
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
N160,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere
N161,Renal tubulo-interstitial disorders in neoplastic diseases
N162,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism
N163,Renal tubulo-interstitial disorders in metabolic diseases
N164,Renal tubulo-interstitial disorders in systemic connective tissue disorders
N165,Renal tubulo-interstitial disorders in transplant rejection T86.-
N168,Renal tubulo-interstitial disorders in other diseases classified elsewhere
N17,Acute renal failure
N17-N19,Renal failure
N170,Acute renal failure with tubular necrosis
N171,Acute renal failure with acute cortical necrosis
N172,Acute renal failure with medullary necrosis
N178,Other acute renal failure
N179,"Acute renal failure, unspecified"
N18,Chronic kidney disease
N181,"Chronic kidney disease, stage 1"
N182,"Chronic kidney disease, stage 2"
N183,"Chronic kidney disease, stage 3"
N184,"Chronic kidney disease, stage 4"
N185,"Chronic kidney disease, stage 5"
N189,"Chronic kidney disease, unspecified"
N19,Unspecified kidney failure
N20,Calculus of kidney and ureter
N20-N23,Urolithiasis
N200,Calculus of kidney
N201,Calculus of ureter
N202,Calculus of kidney with calculus of ureter
N209,"Urinary calculus, unspecified"
N21,Calculus of lower urinary tract
N210,Calculus in bladder
N211,Calculus in urethra
N218,Other lower urinary tract calculus
N219,"Calculus of lower urinary tract, unspecified"
N22,Calculus of urinary tract in diseases classified elsewhere
N220,Urinary calculus in schistosomiasis [bilharziasis] B65.0
N228,Calculus of urinary tract in other diseases classified elsewhere
N23,Unspecified renal colic
N25,Disorders resulting from impaired renal tubular function
N25-N29,Other disorders of kidney and ureter
N250,Renal osteodystrophy
N251,Nephrogenic diabetes insipidus
N258,Other disorders resulting from impaired renal tubular function
N259,"Disorder resulting from impaired renal tubular function, unspecified"
N26,Unspecified contracted kidney
N27,Small kidney of unknown cause
N270,"Small kidney, unilateral"
N271,"Small kidney, bilateral"
N279,"Small kidney, unspecified"
N28,"Other disorders of kidney and ureter, not elsewhere classified"
N280,Ischaemia and infarction of kidney
N281,Cyst of kidney
N288,Other specified disorders of kidney and ureter
N289,"Disorder of kidney and ureter, unspecified"
N29,Other disorders of kidney and ureter in diseases classified elsewhere
N290,Late syphilis of kidney A52.7
N291,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere
N298,Other disorders of kidney and ureter in other diseases classified elsewhere
N30,Cystitis
N30-N39,Other diseases of urinary system
N300,Acute cystitis
N301,Interstitial cystitis (chronic)
N302,Other chronic cystitis
N303,Trigonitis
N304,Irradiation cystitis
N308,Other cystitis
N309,"Cystitis, unspecified"
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified"
N310,"Uninhibited neuropathic bladder, not elsewhere classified"
N311,"Reflex neuropathic bladder, not elsewhere classified"
N312,"Flaccid neuropathic bladder, not elsewhere classified"
N318,Other neuromuscular dysfunction of bladder
N319,"Neuromuscular dysfunction of bladder, unspecified"
N32,Other disorders of bladder
N320,Bladder-neck obstruction
N321,Vesicointestinal fistula
N322,"Vesical fistula, not elsewhere classified"
N323,Diverticulum of bladder
N324,"Rupture of bladder, nontraumatic"
N328,Other specified disorders of bladder
N329,"Bladder disorder, unspecified"
N33,Bladder disorders in diseases classified elsewhere
N330,Tuberculous cystitis A18.1
N338,Bladder disorders in other diseases classified elsewhere
N34,Urethritis and urethral syndrome
N340,Urethral abscess
N341,Nonspecific urethritis
N342,Other urethritis
N343,"Urethral syndrome, unspecified"
N35,Urethral stricture
N350,Post-traumatic urethral stricture
N351,"Postinfective urethral stricture, not elsewhere classified"
N358,Other urethral stricture
N359,"Urethral stricture, unspecified"
N36,Other disorders of urethra
N360,Urethral fistula
N361,Urethral diverticulum
N362,Urethral caruncle
N363,Prolapsed urethral mucosa
N368,Other specified disorders of urethra
N369,"Urethral disorder, unspecified"
N37,Urethral disorders in diseases classified elsewhere
N370,Urethritis in diseases classified elsewhere
N378,Other urethral disorders in diseases classified elsewhere
N39,Other disorders of urinary system
N390,"Urinary tract infection, site not specified"
N391,"Persistent proteinuria, unspecified"
N392,"Orthostatic proteinuria, unspecified"
N393,Stress incontinence
N394,Other specified urinary incontinence
N398,Other specified disorders of urinary system
N399,"Disorder of urinary system, unspecified"
N40,Hyperplasia of prostate
N40-N51,Diseases of male genital organs
N41,Inflammatory diseases of prostate
N410,Acute prostatitis
N411,Chronic prostatitis
N412,Abscess of prostate
N413,Prostatocystitis
N418,Other inflammatory diseases of prostate
N419,"Inflammatory disease of prostate, unspecified"
N42,Other disorders of prostate
N420,Calculus of prostate
N421,Congestion and haemorrhage of prostate
N422,Atrophy of prostate
N423,Dysplasia of prostate
N428,Other specified disorders of prostate
N429,"Disorder of prostate, unspecified"
N43,Hydrocele and spermatocele
N430,Encysted hydrocele
N431,Infected hydrocele
N432,Other hydrocele
N433,"Hydrocele, unspecified"
N434,Spermatocele
N44,Torsion of testis
N45,Orchitis and epididymitis
N450,"Orchitis, epididymitis and epididymo-orchitis with abscess"
N459,"Orchitis, epididymitis and epididymo-orchitis without abscess"
N46,Male infertility
N47,"Redundant prepuce, phimosis and paraphimosis"
N48,Other disorders of penis
N480,Leukoplakia of penis
N481,Balanoposthitis
N482,Other inflammatory disorders of penis
N483,Priapism
N484,Impotence of organic origin
N485,Ulcer of penis
N486,Induratio penis plastica
N488,Other specified disorders of penis
N489,"Disorder of penis, unspecified"
N49,"Inflammatory disorders of male genital organs, not elsewhere classified"
N490,Inflammatory disorders of seminal vesicle
N491,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens"
N492,Inflammatory disorders of scrotum
N498,Inflammatory disorders of other specified male genital organs
N499,Inflammatory disorder of unspecified male genital organ
N50,Other disorders of male genital organs
N500,Atrophy of testis
N501,Vascular disorders of male genital organs
N508,Other specified disorders of male genital organs
N509,"Disorder of male genital organs, unspecified"
N51,Disorders of male genital organs in diseases classified elsewhere
N510,Disorders of prostate in diseases classified elsewhere
N511,Disorders of testis and epididymis in diseases classified elsewhere
N512,Balanitis in diseases classified elsewhere
N518,Other disorders of male genital organs in diseases classified elsewhere
N60,Benign mammary dysplasia
N60-N64,Disorders of breast
N600,Solitary cyst of breast
N601,Diffuse cystic mastopathy
N602,Fibroadenosis of breast
N603,Fibrosclerosis of breast
N604,Mammary duct ectasia
N608,Other benign mammary dysplasias
N609,"Benign mammary dysplasia, unspecified"
N61,Inflammatory disorders of breast
N62,Hypertrophy of breast
N63,Unspecified lump in breast
N64,Other disorders of breast
N640,Fissure and fistula of nipple
N641,Fat necrosis of breast
N642,Atrophy of breast
N643,Galactorrhoea not associated with childbirth
N644,Mastodynia
N645,Other signs and symptoms in breast
N648,Other specified disorders of breast
N649,"Disorder of breast, unspecified"
N70,Salpingitis and oophoritis
N70-N77,Inflammatory diseases of female pelvic organs
N700,Acute salpingitis and oophoritis
N701,Chronic salpingitis and oophoritis
N709,"Salpingitis and oophoritis, unspecified"
N71,"Inflammatory disease of uterus, except cervix"
N710,Acute inflammatory disease of uterus
N711,Chronic inflammatory disease of uterus
N719,"Inflammatory disease of uterus, unspecified"
N72,Inflammatory disease of cervix uteri
N73,Other female pelvic inflammatory diseases
N730,Acute parametritis and pelvic cellulitis
N731,Chronic parametritis and pelvic cellulitis
N732,Unspecified parametritis and pelvic cellulitis
N733,Female acute pelvic peritonitis
N734,Female chronic pelvic peritonitis
N735,"Female pelvic peritonitis, unspecified"
N736,Female pelvic peritoneal adhesions
N738,Other specified female pelvic inflammatory diseases
N739,"Female pelvic inflammatory disease, unspecified"
N74,Female pelvic inflammatory disorders in diseases classified elsewhere
N740,Tuberculous infection of cervix uteri A18.1
N741,Female tuberculous pelvic inflammatory disease A18.1
N742,Female syphilitic pelvic inflammatory disease A51.4 A52.7
N743,Female gonococcal pelvic inflammatory disease A54.2
N744,Female chlamydial pelvic inflammatory disease A56.1
N748,Female pelvic inflammatory disorders in other diseases classified elsewhere
N75,Diseases of Bartholin gland
N750,Cyst of Bartholin gland
N751,Abscess of Bartholin gland
N758,Other diseases of Bartholin gland
N759,"Disease of Bartholin gland, unspecified"
N76,Other inflammation of vagina and vulva
N760,Acute vaginitis
N761,Subacute and chronic vaginitis
N762,Acute vulvitis
N763,Subacute and chronic vulvitis
N764,Abscess of vulva
N765,Ulceration of vagina
N766,Ulceration of vulva
N768,Other specified inflammation of vagina and vulva
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere
N770,Ulceration of vulva in infectious and parasitic diseases classified elsewhere
N771,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere"
N778,Vulvovaginal ulceration and inflammation in other diseases classified elsewhere
N80,Endometriosis
N80-N98,Noninflammatory disorders of female genital tract
N800,Endometriosis of uterus
N801,Endometriosis of ovary
N802,Endometriosis of fallopian tube
N803,Endometriosis of pelvic peritoneum
N804,Endometriosis of rectovaginal septum and vagina
N805,Endometriosis of intestine
N806,Endometriosis in cutaneous scar
N808,Other endometriosis
N809,"Endometriosis, unspecified"
N81,Female genital prolapse
N810,Female urethrocele
N811,Cystocele
N812,Incomplete uterovaginal prolapse
N813,Complete uterovaginal prolapse
N814,"Uterovaginal prolapse, unspecified"
N815,Vaginal enterocele
N816,Rectocele
N818,Other female genital prolapse
N819,"Female genital prolapse, unspecified"
N82,Fistulae involving female genital tract
N820,Vesicovaginal fistula
N821,Other female urinary-genital tract fistulae
N822,Fistula of vagina to small intestine
N823,Fistula of vagina to large intestine
N824,Other female intestinal-genital tract fistulae
N825,Female genital tract-skin fistulae
N828,Other female genital tract fistulae
N829,"Female genital tract fistula, unspecified"
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
N830,Follicular cyst of ovary
N831,Corpus luteum cyst
N832,Other and unspecified ovarian cysts
N833,Acquired atrophy of ovary and fallopian tube
N834,Prolapse and hernia of ovary and fallopian tube
N835,"Torsion of ovary, ovarian pedicle and fallopian tube"
N836,Haematosalpinx
N837,Haematoma of broad ligament
N838,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"
N84,Polyp of female genital tract
N840,Polyp of corpus uteri
N841,Polyp of cervix uteri
N842,Polyp of vagina
N843,Polyp of vulva
N848,Polyp of other parts of female genital tract
N849,"Polyp of female genital tract, unspecified"
N85,"Other noninflammatory disorders of uterus, except cervix"
N850,Endometrial glandular hyperplasia
N851,Endometrial adenomatous hyperplasia
N852,Hypertrophy of uterus
N853,Subinvolution of uterus
N854,Malposition of uterus
N855,Inversion of uterus
N856,Intrauterine synechiae
N857,Haematometra
N858,Other specified noninflammatory disorders of uterus
N859,"Noninflammatory disorder of uterus, unspecified"
N86,Erosion and ectropion of cervix uteri
N87,Dysplasia of cervix uteri
N870,Mild cervical dysplasia
N871,Moderate cervical dysplasia
N872,"Severe cervical dysplasia, not elsewhere classified"
N879,"Dysplasia of cervix uteri, unspecified"
N88,Other noninflammatory disorders of cervix uteri
N880,Leukoplakia of cervix uteri
N881,Old laceration of cervix uteri
N882,Stricture and stenosis of cervix uteri
N883,Incompetence of cervix uteri
N884,Hypertrophic elongation of cervix uteri
N888,Other specified noninflammatory disorders of cervix uteri
