Code,Term
E192,Partial pharyngectomy
E198,Other specified excision of pharynx
E199,Unspecified excision of pharynx
E211,Pharyngoplasty using posterior pharyngeal implant
E212,Pharyngoplasty using posterior pharyngeal flap
E213,Pharyngoplasty using lateral pharyngeal flap
E214,Plastic repair of pharynx NEC
E218,Other specified repair of pharynx
E219,Unspecified repair of pharynx
E231,Open excision of lesion of pharynx
E238,Other specified other open operations on pharynx
E292,Partial horizontal laryngectomy
E293,Partial vertical laryngectomy
E294,Partial laryngectomy NEC
E295,Laryngofissure and cordectomy of vocal cord
E296,Laryngectomy NEC
E297,Cordectomy of vocal cord NEC
E298,Other specified excision of larynx
E299,Unspecified excision of larynx
E311,Laryngotracheal reconstruction using cartilage graft
E312,Laryngotracheoplasty NEC
E356,Endoscopic partial laryngectomy
F391,Reconstruction of mouth using flap NEC
F392,Reconstruction of mouth using graft NEC
F398,Other specified reconstruction of other part of mouth
F399,Unspecified reconstruction of other part of mouth
