Code,Term
H058,Other specified total excision of colon
H059,Unspecified total excision of colon
H121,Excision of diverticulum of colon
H131,Bypass of colon by anastomosis of ileum to colon
H132,Bypass of colon by anastomosis of caecum to sigmoid colon
H133,Bypass of colon by anastomosis of transverse colon to sigmoid colon
H134,Bypass of colon by anastomosis of transverse colon to rectum
H135,Bypass of colon by anastomosis of colon to rectum NEC
H138,Other specified bypass of colon
H139,Unspecified bypass of colon
H156,Reduction of prolapse of colostomy
H162,Caecotomy
H163,Colotomy
H168,Other specified incision of colon
H171,Open reduction of intussusception of colon
H172,Open reduction of volvulus of caecum
H173,Open reduction of volvulus of sigmoid colon
H174,Open reduction of volvulus of colon NEC
H175,Open relief of strangulation of colon
H176,Open relief of obstruction of colon NEC
H178,Other specified intra-abdominal manipulation of colon
H179,Unspecified intra-abdominal manipulation of colon
H181,Open colonoscopy
H188,Other specified open endoscopic operations on colon
H189,Unspecified open endoscopic operations on colon
H191,Open biopsy of lesion of colon
H192,Fixation of colon
H193,Enterorrhaphy of colon
H194,Open removal of foreign body from colon
H198,Other specified other open operations on colon
H295,Subtotal excision of colon and anastomosis of colon to ileum
H298,Other specified subtotal excision of colon
H299,Unspecified subtotal excision of colon
H321,Resiting of colostomy
H341,Open excision of lesion of rectum
H342,Open cauterisation of lesion of rectum
H343,Open cryotherapy to lesion of rectum
H344,Open laser destruction of lesion of rectum
H345,Open destruction of lesion of rectum NEC
H348,Other specified open extirpation of lesion of rectum
H349,Unspecified open extirpation of lesion of rectum
H351,Anterior fixation of rectum NEC
H352,Posterior fixation of rectum using prosthetic material
H353,Posterior fixation of rectum NEC
H354,Fixation of rectum using fascia lata
H355,Anterior fixation of rectum using prosthetic material
H358,Other specified fixation of rectum for prolapse
H359,Unspecified fixation of rectum for prolapse
H361,Abdominal repair of levator ani muscles
H368,Other specified other abdominal operations for prolapse of rectum
H414,Peranal mucosal proctectomy and endoanal anastomosis
H415,Peranal resection of rectum using staples
H422,Perineal plication of levator ani muscles and anal sphincters
H621,Laser recanalisation of bowel NEC
H622,Mobilisation of bowel NEC
T381,Excision of lesion of mesentery of colon
T382,Destruction of lesion of mesentery of colon
T383,Biopsy of lesion of mesentery of colon
T384,Repair of mesentery of colon
T388,Other specified operations on mesentery of colon
