code,term
A064,Amoebic liver abscess
B159,Hepatitis A without hepatic coma
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B169,Acute hepatitis B without delta-agent and without hepatic coma
B170,Acute delta-(super)infection of hepatitis B carrier
B171,Acute hepatitis C
B172,Acute hepatitis E
B178,Other specified acute viral hepatitis
B179,Acute viral hepatitis, unspecified
B180,Chronic viral hepatitis B with delta-agent
B181,Chronic viral hepatitis B without delta-agent
B182,Chronic viral hepatitis C
B188,Other chronic viral hepatitis
B189,Chronic viral hepatitis, unspecified
B199,Unspecified viral hepatitis without hepatic coma
B251,Cytomegaloviral hepatitis
B252,Cytomegaloviral pancreatitis
B263,Mumps pancreatitis
B573,Chagas disease (chronic) with digestive system involvement
B660,Opisthorchiasis
B661,Clonorchiasis
B663,Fascioliasis
B664,Paragonimiasis
B665,Fasciolopsiasis
B670,Echinococcus granulosus infection of liver
B675,Echinococcus multilocularis infection of liver
B678,Echinococcosis, unspecified, of liver
D134,Benign neoplasm: Liver
D135,Benign neoplasm: Extrahepatic bile ducts
D136,Benign neoplasm: Pancreas
D376,Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts
E804,Gilbert syndrome
E805,Crigler-Najjar syndrome
E806,Other disorders of bilirubin metabolism
E807,Disorder of bilirubin metabolism, unspecified
I81X,Portal vein thrombosis
I820,Budd-Chiari syndrome
I859,Oesophageal varices without bleeding
K700,Alcoholic fatty liver
K701,Alcoholic hepatitis
K702,Alcoholic fibrosis and sclerosis of liver
K703,Alcoholic cirrhosis of liver
K709,Alcoholic liver disease, unspecified
K710,Toxic liver disease with cholestasis
K712,Toxic liver disease with acute hepatitis
K713,Toxic liver disease with chronic persistent hepatitis
K714,Toxic liver disease with chronic lobular hepatitis
K715,Toxic liver disease with chronic active hepatitis
K716,Toxic liver disease with hepatitis, not elsewhere classified
K717,Toxic liver disease with fibrosis and cirrhosis of liver
K718,Toxic liver disease with other disorders of liver
K719,Toxic liver disease, unspecified
K721,Chronic hepatic failure
K729,Hepatic failure, unspecified
K730,Chronic persistent hepatitis, not elsewhere classified
K731,Chronic lobular hepatitis, not elsewhere classified
K732,Chronic active hepatitis, not elsewhere classified
K738,Other chronic hepatitis, not elsewhere classified
K739,Chronic hepatitis, unspecified
K740,Hepatic fibrosis
K741,Hepatic sclerosis
K742,Hepatic fibrosis with hepatic sclerosis
K743,Primary biliary cirrhosis
K744,Secondary biliary cirrhosis
K745,Biliary cirrhosis, unspecified
K746,Other and unspecified cirrhosis of liver
K750,Abscess of liver
K751,Phlebitis of portal vein
K752,Nonspecific reactive hepatitis
K753,Granulomatous hepatitis, not elsewhere classified
K754,Autoimmune hepatitis
K758,Other specified inflammatory liver diseases
K759,Inflammatory liver disease, unspecified
K760,Fatty (change of) liver, not elsewhere classified
K761,Chronic passive congestion of liver
K762,Central haemorrhagic necrosis of liver
K763,Infarction of liver
K764,Peliosis hepatis
K765,Hepatic veno-occlusive disease
K766,Portal hypertension
K767,Hepatorenal syndrome
K768,Other specified diseases of liver
K769,Liver disease, unspecified
K770,Liver disorders in infectious and parasitic diseases classified elsewhere
K778,Liver disorders in other diseases classified elsewhere
K800,Calculus of gallbladder with acute cholecystitis
K801,Calculus of gallbladder with other cholecystitis
K802,Calculus of gallbladder without cholecystitis
K803,Calculus of bile duct with cholangitis
K804,Calculus of bile duct with cholecystitis
K805,Calculus of bile duct without cholangitis or cholecystitis
K808,Other cholelithiasis
K810,Acute cholecystitis
K811,Chronic cholecystitis
K818,Other cholecystitis
K819,Cholecystitis, unspecified
K820,Obstruction of gallbladder
K821,Hydrops of gallbladder
K822,Perforation of gallbladder
K823,Fistula of gallbladder
K824,Cholesterolosis of gallbladder
K828,Other specified diseases of gallbladder
K829,Disease of gallbladder, unspecified
K830,Cholangitis
K831,Obstruction of bile duct
K832,Perforation of bile duct
K833,Fistula of bile duct
K834,Spasm of sphincter of Oddi
K835,Biliary cyst
K838,Other specified diseases of biliary tract
K839,Disease of biliary tract, unspecified
K850,Idiopathic acute pancreatitis
K851,Biliary acute pancreatitis
K852,Alcohol-induced acute pancreatitis
K853,Drug-induced acute pancreatitis
K858,Other acute pancreatitis
K859,Acute pancreatitis, unspecified
K860,Alcohol-induced chronic pancreatitis
K861,Other chronic pancreatitis
K862,Cyst of pancreas
K863,Pseudocyst of pancreas
K868,Other specified diseases of pancreas
K869,Disease of pancreas, unspecified
K870,Disorders of gallbladder and biliary tract in diseases classified elsewhere
K871,Disorders of pancreas in diseases classified elsewhere
K903,Pancreatic steatorrhoea
