Code,Term
J138,Other specified diagnostic percutaneous operations on liver
J139,Unspecified diagnostic percutaneous operations on liver
J148,Other specified other puncture of liver
J149,Unspecified other puncture of liver
J251,Percutaneous biopsy of lesion of gall bladder
J258,Other specified diagnostic percutaneous operations on gall bladder
J259,Unspecified diagnostic percutaneous operations on gall bladder
J502,Percutaneous cholangiography NEC
J503,Percutaneous transbiliary biopsy of lesion of bile duct
J504,Percutaneous transjejunal cholangiography
J505,Percutaneous transhepatic cholangiography
J506,Percutaneous transjejunal examination of bile duct NEC
J507,Percutaneous transhepatic cholangioscopy
J508,Other specified percutaneous examination of bile duct
J509,Unspecified percutaneous examination of bile duct
J671,Diagnostic percutaneous aspiration of lesion of pancreas
J672,Percutaneous puncture of pancreatic duct and pancreatography
J673,Percutaneous biopsy of lesion of pancreas
J678,Other specified diagnostic percutaneous operations on pancreas
J679,Unspecified diagnostic percutaneous operations on pancreas
J723,Biopsy of lesion of spleen
